Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,Label
azurefetcherstorage.blob.core.windows.net,0,0,1,2,0,0,0,0,0,1,0,1,1
aomuabinhtien.com,0,0,1,4,0,0,0,0,0,1,0,0,1
baqala.me,0,0,0,2,0,0,0,0,0,1,0,0,1
snapshataccontet1.000webhostapp.com,0,0,0,1,0,0,0,0,0,1,0,0,1
onlinebanking-securekey-logon.com,0,0,0,0,0,0,0,1,0,1,0,0,1
sofe-firma.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1
servicabbout.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,1
nocontent-vvvppxqo.velocityhub.com,0,0,1,1,0,0,0,1,0,1,0,1,1
31jan.page.link,0,0,0,1,0,0,0,0,0,1,0,0,1
pkk.depok.go.id,0,0,0,2,0,0,0,0,0,1,0,0,1
sirdarnell.org,0,0,1,3,0,0,0,0,0,1,0,0,1
olx.rwpay.ru,0,0,0,1,0,0,0,0,0,1,0,0,1
377080202567359722137708020256735972.blogspot.com,0,0,1,0,0,0,1,0,1,1,1,1,1
api.bdisl.com,0,0,1,1,0,0,0,0,0,1,0,1,1
globalbusinessadvisors.co,0,0,1,1,0,0,0,0,0,1,0,1,1
cafeh.ie,0,0,1,2,0,0,0,0,0,1,1,1,1
cancelnew-requests.com,0,0,0,1,0,0,0,1,0,1,0,0,1
smediaphotography.com,0,0,1,2,0,0,0,0,0,1,0,0,1
37.152.177.165,0,0,0,0,0,0,0,0,0,1,1,1,1
de1027.xyz,0,0,0,2,0,0,0,0,0,1,0,0,1
royalmail-shipment.com,0,0,0,1,0,0,1,1,0,1,0,0,1
dev-alibaba-marketsquare.pantheonsite.io,0,0,1,4,0,0,0,1,0,1,1,1,1
mahanhadi.ir,0,0,1,5,0,0,0,0,0,1,1,1,1
pay-sera.web.app,0,0,0,0,0,0,0,1,0,1,0,0,1
firebasestorage.googleapis.com,0,0,1,5,0,0,1,0,1,0,1,1,1
brigida_cossette.gitlab.io,0,0,1,2,0,0,0,0,0,1,1,1,1
milliondollarsproject.fxfdq.com,0,0,0,0,0,0,0,0,0,1,0,0,1
securelloyd-help-teamuk.com,0,0,0,2,0,0,0,1,0,1,0,0,1
royalmail.reschedule-missed-parcel.com,0,0,0,0,0,0,0,1,0,1,0,0,1
mafacturefreemobile.blogspot.com,0,0,1,3,0,0,1,0,1,1,1,1,1
blokir-fb.logindatafacebok.cf,0,0,0,1,0,0,0,1,0,1,1,1,1
f0519079.xsph.ru,0,0,0,3,0,0,0,0,0,1,0,1,1
cimbclickikn.cc,0,0,0,0,0,0,0,0,0,1,0,0,1
165.22.103.235,0,0,0,1,0,0,0,0,0,1,0,1,1
peringatan-login-account.weeblysite.com,0,0,0,0,0,0,0,1,0,1,0,0,1
3ca.re,0,0,0,1,0,0,0,0,0,1,1,0,1
buyelectronicsnyc.com,0,0,0,1,0,0,0,0,0,1,0,1,1
sqmae.com,0,0,0,3,0,0,0,0,0,1,0,0,1
emigratingtothesun.com,0,0,1,4,0,0,0,0,0,1,0,0,1
asfasrtw45633.gdmeaning.com,0,0,0,1,0,0,0,0,0,1,0,0,1
thebrownbutterblog.com,0,0,0,1,0,0,0,0,0,1,0,0,1
smbcwodeqingguoshoujicojp.top,0,1,1,2,1,0,0,0,0,1,0,0,1
soberlab.ca,0,1,0,1,0,0,0,0,0,1,0,0,1
clouddoc-authorize.firebaseapp.com,0,0,1,2,0,0,0,1,1,1,1,1,1
itau.gq,0,0,1,2,0,0,0,0,0,1,1,1,1
bit.ly,0,0,0,1,0,0,1,0,0,0,0,0,1
animalwelfareinc.org,0,0,1,7,0,0,0,0,0,1,0,1,1
dev.klinikmatanusantara.com,0,0,1,5,0,0,0,0,0,1,0,0,1
ebay.com-itm-keystone-outback-25fb-290047.4367249.com,0,0,1,0,0,0,0,1,0,1,0,0,1
apple.com.services-and-support.com,0,0,0,0,0,0,1,1,0,1,0,0,1
royalmailbilling.com,0,0,1,1,0,0,0,0,0,1,0,0,1
bancodecomercio.elegroup.com.pe,0,0,0,0,0,0,0,0,0,1,1,1,1
